Toipic/Chapter Name,Video Title,Video Description,Video URL
Section 1,DataTypes_Variables,DataTypes_Variables,https://vimeo.com/715776622
Section 1,Classes_Objects,Classes_Objects,https://vimeo.com/715776102
Section 1,ExceptionHandling_I,ExceptionHandling_I,https://vimeo.com/715776762
Section 1,ExceptionHandling_II,ExceptionHandling_II,https://vimeo.com/715776804
Section 1,ExceptionHandling_III,ExceptionHandling_III,https://vimeo.com/715776863
Section 1,Threads_I,Threads_I,https://vimeo.com/715779031
Section 1,Threads_II,Threads_II,https://vimeo.com/715779112
Section 1,Threads_III,Threads_III,https://vimeo.com/715779170
Section 1,Collections_I,Collections_I,https://vimeo.com/715776199
Section 1,Collections_III,Collections_III,https://vimeo.com/715776301
Section 1,Collections_IV,Collections_IV,https://vimeo.com/715776398
Section 1,Collections_V,Collections_V,https://vimeo.com/715776514
Section 1,IOStreams_I,IOStreams_I,https://vimeo.com/715777122
Section 1,IOStreams_II,IOStreams_II,https://vimeo.com/715777209
Section 1,IOStreams_III,IOStreams_III,https://vimeo.com/715777288
Section 1,Annotations-Serialization,Annotations-Serialization,https://vimeo.com/715776033
Section 1,Operators,Operators,https://vimeo.com/720716937
Section 1,JDBC_I,JDBC_I,https://vimeo.com/715777375
Section 1,JDBC_II,JDBC_II,https://vimeo.com/715777453
Section 1,Servlets_I,Servlets_I,https://vimeo.com/715777122
Section 2,Servlets_II,Servlets_II,https://vimeo.com/715778238
Section 2,Servlets_III,Servlets_III,https://vimeo.com/715778296
Section 2,Servlets_IV,Servlets_IV,https://vimeo.com/715778377
Section 2,JSP_I,JSP_I,https://vimeo.com/715777536
Section 2,JSP_II,JSP_II,https://vimeo.com/715777615
Section 2,JSTL_I,JSTL_I,https://vimeo.com/715777684
Section 2,JSTL_II,JSTL_II,https://vimeo.com/715777767
Section 2,JSTL_III,JSTL_III,https://vimeo.com/715777860
Section 2,Spring_I,Spring_I,https://vimeo.com/715778476
Section 2,Spring_II,Spring_II,https://vimeo.com/715778552
Section 2,Spring_III,Spring_III,https://vimeo.com/715778637
Section 2,Spring_IV,Spring_IV,https://vimeo.com/715778739
Section 2,Spring_JDBC,Spring_JDBC,https://vimeo.com/715775848
Section 2,Spring_MVC,Spring_MVC,https://vimeo.com/715775943
Section 2,SpringBoot_I,SpringBoot_I,https://vimeo.com/715778866
Section 2,SpringBoot_II,SpringBoot_II,https://vimeo.com/715778938
Section 2,Hibernate_I,Hibernate_I,https://vimeo.com/715777122
Section 2,Hibernate_II,Hibernate_II,https://vimeo.com/715777014
Section 2,RESTful_I,RESTful_I,https://vimeo.com/715778007
Section 2,RESTful_II,RESTful_II,https://vimeo.com/715778057
Section 2,DesignPatterns,DesignPatterns,https://vimeo.com/715776691
